,"I am someone who Is outgoing, sociable","I am someone who Is compassionate, has a soft heart",I am someone who Tends to be disorganized,"I am someone who Is relaxed, handles stress well",I am someone who Has few artistic interests,I am someone who Has an assertive personality,"I am someone who Is respectful, treats others with respect",I am someone who Tends to be lazy,I am someone who Stays optimistic after experiencing a setback,I am someone who Is curious about many different things,I am someone who Rarely feels excited or eager,I am someone who Tends to find fault with others,"I am someone who Is dependable, steady","I am someone who Is moody, has up and down mood swings","I am someone who Is inventive, finds clever ways to do things",I am someone who Tends to be quiet,I am someone who Feels little sympathy for others,"I am someone who Is systematic, likes to keep things in order",I am someone who Can be tense,"I am someone who Is fascinated by art, music, or literature","I am someone who Is dominant, acts as a leader",I am someone who Starts arguments with others,I am someone who Has difficulty getting started on tasks,"I am someone who Feels secure, comfortable with self","I am someone who Avoids intellectual, philosophical discussions",I am someone who Is less active than other people,I am someone who Has a forgiving nature,I am someone who Can be somewhat careless,"I am someone who Is emotionally stable, not easily upset",I am someone who Has little creativity,"I am someone who Is sometimes shy, introverted",I am someone who Is helpful and unselfish with others,I am someone who Keeps things neat and tidy,I am someone who Worries a lot,I am someone who Values art and beauty,I am someone who Finds it hard to influence people,I am someone who Is sometimes rude to others,"I am someone who Is efficient, gets things done",I am someone who Often feels sad,"I am someone who Is complex, a deep thinker",I am someone who Is full of energy,I am someone who Is suspicious of others’ intentions,"I am someone who Is reliable, can always be counted on",I am someone who Keeps their emotions under control,I am someone who Has difficulty imagining things,I am someone who Is talkative,I am someone who Can be cold and uncaring,"I am someone who Leaves a mess, doesn’t clean up",I am someone who Rarely feels anxious or afraid,I am someone who Thinks poetry and plays are boring,I am someone who Prefers to have others take charge,"I am someone who Is polite, courteous to others","I am someone who Is persistent, works until the task is finished","I am someone who Tends to feel depressed, blue",I am someone who Has little interest in abstract Ideas,I am someone who Shows a lot of Enthusiasm,I am someone who Assumes the best about people,I am someone who Sometimes behaves irresponsibly,"I am someone who Is temperamental, gets emotional easily","I am someone who Is original, comes up with new Ideas"
I like to smell my own farts. My beer gut is so huge i’ven T seen my feet in two years. I am from San Fransico. I am always the one who buys the beers. I like to place blame on other people even when I know it is my fault.,5,1,5,1,1,5,1,5,1,1,2,5,1,5,1,1,5,1,5,1,5,5,4,1,5,5,1,5,1,2,1,1,1,1,1,2,5,1,1,1,1,5,1,1,1,5,5,5,5,5,1,1,1,2,5,5,1,5,5,1
"I lived most of my life not knowing who Bob marley was. When I cut loose, I lose control. We help each other out in my family. I despise my boss. I work over 60 hours a week as a restaurant manager.",2,4,4,1,4,4,3,1,2,2,2,4,4,5,2,1,2,1,5,1,4,5,2,2,5,2,2,5,2,2,2,5,2,5,2,2,4,4,4,4,4,4,4,1,2,2,2,2,1,5,1,3,5,4,4,2,2,5,5,2
I prefer the simpler times. I like simple jokes. Some jokes go too far. I like the flintstones.,2,4,2,4,4,2,5,4,4,2,4,1,5,1,2,4,1,4,2,2,1,1,2,4,5,4,4,2,4,2,4,4,4,2,2,4,1,4,2,1,2,2,4,4,4,1,1,1,4,4,4,5,3,2,4,2,4,1,1,2
"It is my universe, and everyone else is just a character in it. I work as a dental assistant in a ritzy part of town. I’ve borderline personality disorder. At night, I party hard in the Atlanta club scene, and I never miss a music festival.",5,2,5,1,1,5,2,1,2,5,1,5,1,5,5,1,5,1,5,5,5,5,2,1,1,1,1,5,1,1,1,2,1,5,5,1,5,2,2,5,5,5,1,1,1,5,5,5,1,5,1,2,2,4,2,5,1,5,5,5
I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living.,1,2,2,4,4,2,4,4,3,2,2,2,4,2,4,4,2,2,3,1,2,2,2,4,2,4,3,4,4,2,4,2,2,2,2,2,2,4,2,2,2,2,4,4,2,2,2,2,4,4,2,4,4,2,4,2,2,4,2,2
I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir.,4,5,2,4,1,4,5,1,5,4,2,2,5,2,4,2,1,2,4,5,2,1,2,4,2,2,5,2,4,1,2,5,2,2,5,2,1,4,2,5,4,2,5,2,2,4,1,1,2,1,2,5,5,2,2,5,4,2,2,4
I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home.,2,4,2,2,1,3,5,1,4,3,2,1,4,4,4,2,1,2,4,5,4,1,2,4,1,2,4,2,3,1,2,4,2,2,5,2,1,4,2,4,4,1,4,2,1,2,1,2,2,1,1,4,5,2,1,5,3,2,4,4
I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read.,2,4,2,4,2,2,5,2,4,4,2,2,5,2,4,4,1,4,2,4,2,1,2,4,1,2,4,2,4,2,4,5,4,2,2,2,2,4,2,4,2,2,5,4,2,2,2,1,2,1,1,5,5,2,2,3,4,2,2,3
I am a vegan. I love country music. I love the beach. I like to read.,2,5,2,4,1,2,5,2,4,4,2,1,4,2,3,4,1,2,2,5,2,1,2,5,2,2,4,2,4,1,2,5,3,2,4,2,1,3,2,4,3,2,4,4,2,2,1,1,4,1,2,5,4,1,2,5,4,2,2,4
"I’ve depression and anxiety so I don’t really go out a lot. I work at home, editing. I have a cat. I hope to move out soon.",1,4,4,1,2,1,4,2,2,2,5,1,3,5,2,5,1,4,5,3,1,1,4,2,4,5,3,2,1,2,5,2,4,5,4,5,1,3,5,4,1,4,2,2,4,1,2,2,1,2,2,4,4,5,2,1,2,2,4,2
My favorite food is mushroom ravioli. I ve never met my father. My mother works at a bank. I work in an animal shelter.,2,5,2,3,4,2,5,2,4,4,2,2,4,2,2,4,1,2,4,2,2,1,2,3,4,2,4,2,3,2,4,5,2,4,2,4,2,4,4,4,2,2,4,4,2,2,2,1,2,3,2,4,4,2,4,3,4,2,2,3
I love kids and dogs. I like to go shopping with my daughters. I like to cook. I love to chat with my friends.,5,5,2,4,2,2,5,1,4,3,1,1,4,1,2,2,1,2,2,2,2,1,2,5,5,2,4,2,4,2,2,5,2,2,2,2,1,3,1,2,4,1,4,2,2,5,1,1,4,1,2,5,3,1,2,5,5,2,2,2
I swim often. I run track. I wear glasses all day. I take medication.,2,3,2,2,3,3,5,1,4,4,2,1,4,2,2,2,1,4,4,2,2,1,1,4,1,1,3,2,4,2,2,4,2,2,2,2,1,4,2,3,5,2,4,4,2,2,1,1,2,1,1,4,5,1,2,4,3,1,1,3
I like to go on long hikes. I like to play volleyball. I like to come up with new hairstyles. I like to do my nails.,5,3,2,4,1,3,5,1,4,5,1,1,3,2,5,2,1,2,2,2,2,1,2,5,5,1,4,2,4,1,2,4,3,2,5,2,1,3,1,3,5,1,4,4,2,2,1,1,4,1,1,4,4,1,2,5,4,2,2,5
I watch Jimmy Fallon s show every night. I have never kissed a woman. People notice how organized I am. I believe that I can achieve anything.,2,3,1,2,2,5,5,1,5,4,1,1,5,1,4,2,1,5,2,2,4,1,1,5,1,2,3,1,4,1,2,4,5,2,2,2,1,5,1,2,4,1,5,4,1,2,1,1,4,1,1,4,5,1,2,5,4,1,1,3
I drive a lifted Chevy truck. I played football in high school. I am a roofer. I always have a beer after work.,4,2,2,4,4,5,4,1,4,2,2,2,5,2,2,1,4,1,4,1,5,2,2,5,4,1,2,4,4,2,1,4,1,2,1,2,4,4,1,2,5,2,5,4,2,2,2,4,4,5,1,4,5,1,4,5,2,4,2,2
I love animals. My father worked for Ge. Green is my favorite color. I enjoy playing tennis. I’m an aspiring singer.,4,5,2,4,1,3,5,2,4,4,2,1,4,2,3,2,1,2,2,4,2,1,2,4,2,2,4,2,4,1,2,4,2,2,4,2,1,2,2,3,4,1,4,3,2,3,1,1,3,1,2,5,4,1,2,5,4,2,2,4
I try to watch what I eat. I enjoy eating italian food. Pizza is my favorite. My name is tom. I am east asian.,2,4,2,3,4,2,5,2,3,3,2,1,4,1,2,4,1,2,2,2,2,1,2,4,2,2,4,2,4,2,2,4,3,2,2,2,1,3,2,3,2,2,4,4,2,2,1,1,3,2,2,5,3,1,2,3,4,2,1,2
In allergic to peanuts. I like eating vegetables. I love the Beatles. I’m usually very shy. I have trouble getting along with family.,1,4,3,1,2,1,4,2,2,2,4,2,2,4,2,5,2,2,4,4,1,1,4,2,4,3,2,2,2,2,5,2,2,4,4,5,1,2,4,4,1,4,2,2,3,1,1,1,2,2,4,4,2,4,4,2,2,2,4,2
I go to high school. Math is my favorite subject. I live in the United States. I am a boy.,2,3,2,2,2,3,5,2,4,4,2,2,4,2,4,2,2,4,4,2,2,2,2,4,2,2,4,4,3,2,2,4,2,2,2,2,2,4,2,4,4,2,4,4,2,2,2,2,2,2,2,4,4,2,2,4,4,3,2,4
I have a job as an it agent. I like smoking weed. My dad works for stifle. I love rap music. I’m a meataholic.,4,2,4,4,1,4,3,4,2,4,2,2,2,4,4,1,2,1,4,4,4,2,2,4,2,2,2,4,2,2,2,2,2,2,2,2,4,3,2,4,4,2,2,2,2,4,2,4,2,4,2,2,4,2,2,5,2,5,4,4
I work in tv. I do not treat my girlfriend very well. I like to cook breakfast on sundays. I love to sing. I am a lesbian.,3,2,4,2,1,4,2,2,2,3,2,5,2,4,4,2,2,2,4,4,4,4,2,2,2,2,1,5,2,2,2,2,2,4,4,2,5,2,4,4,4,2,2,2,2,4,4,4,2,2,2,2,3,4,2,5,2,5,4,4
I work on semi trucks for a living. My father was a driver himself. I got off the road when I married my sweetheart. I want to take her on vacations one day. My motor never stops running.,2,4,2,2,5,4,5,1,5,3,1,2,5,2,4,2,1,4,5,1,2,1,1,4,5,1,4,2,4,2,2,5,2,2,2,2,1,5,2,3,5,2,5,4,2,4,1,1,4,2,1,5,5,2,5,5,4,2,2,2
I own a Iphone 7. I drink hot chocolate during the winter. I’m allergic to seafood. My mother use to read me bed time stories.,2,4,2,4,3,2,5,2,4,4,2,2,4,2,3,3,1,2,3,3,2,1,3,4,3,3,3,4,4,2,3,4,3,3,3,3,1,4,2,3,2,2,4,4,2,2,1,2,3,3,2,4,4,2,3,3,4,2,2,3
I am eighteen years old. I’m going to majoring in business. I just bought my first car. I received a full scholarship to Florida state university.,4,3,1,4,4,4,5,1,5,4,1,1,5,2,3,2,2,4,2,2,4,1,1,5,1,1,4,4,4,1,2,4,3,2,2,2,1,5,1,3,5,2,5,4,2,2,1,1,4,2,1,5,5,1,2,5,4,2,1,3
I live in a tiny house to save money. I collect single malt scotch. I listen to blues and jazz. I tend bar on the weekends. During the week I go to college to become a lawyer.,4,4,1,4,1,4,5,1,4,5,2,2,5,2,4,2,2,4,4,4,2,1,2,5,1,2,4,2,4,1,2,4,4,2,4,2,1,5,2,5,4,2,5,4,2,4,1,1,4,1,1,5,5,2,2,4,4,2,1,4
I love to go horseback riding whenever I can. I’m a mother of two beautiful boys. My family and I go camping every month. My favorite artist is Justin Bieber.,4,5,2,5,1,3,5,1,5,4,1,1,5,1,3,2,1,2,2,4,2,1,1,5,5,1,4,2,4,1,2,5,2,2,4,2,1,4,1,2,5,1,5,4,2,3,1,1,4,1,1,5,4,1,2,5,4,2,2,3
I especially enjoy listening to the band the lumineers. I enjoy reading and walking on sunny days. I’m a happy person. I sing many songs.,4,5,1,5,1,2,5,1,5,4,1,1,4,1,2,2,1,2,2,5,2,1,1,5,1,2,4,2,5,1,2,5,2,1,5,2,1,3,1,2,4,1,4,2,1,4,1,1,5,1,1,5,3,1,2,5,5,2,1,4
I play piano. My favorite color is yellow. My boyfriend is in the army. My father is dead. My hair is short.,2,4,2,2,1,3,5,2,4,4,2,2,4,2,3,4,1,2,4,5,2,2,2,3,2,2,4,2,2,1,4,4,4,4,5,3,2,4,4,4,3,2,4,4,2,2,2,2,2,1,2,4,4,4,2,4,4,2,2,4
I’m a mother. I’m a nurse at a hospital. My favorite band is the rolling stones. I love to read and cook. My favorite food is mexican food.,3,5,2,4,1,4,5,1,4,4,2,2,5,2,3,2,1,4,4,4,2,1,2,4,2,2,4,2,4,2,2,5,4,4,4,2,1,5,2,4,4,2,5,4,2,3,1,1,2,2,2,5,5,2,2,4,4,2,2,3
I deliver baked goods in the state where I live. My favorite hobby is playing recreational baseball. I spend my weekends camping. I’m a truck driver. My wife and two kids camp with me.,4,4,2,4,4,4,5,1,4,3,1,1,5,1,2,2,1,2,2,1,2,1,1,5,4,1,4,2,4,2,2,5,2,2,2,2,1,5,1,2,4,1,5,4,2,2,1,1,4,5,1,5,5,1,4,4,4,2,1,2
I am argentinian. I like to wear boots. I have many girlfriends. I like to eat beef. I like to ride horses.,5,2,1,2,2,5,4,1,4,2,1,1,2,2,2,1,2,1,4,2,5,2,1,5,2,1,2,4,2,1,1,2,1,2,2,1,2,2,1,2,5,2,2,2,1,4,2,2,2,2,1,4,4,1,4,5,2,4,4,2
I recently had a private lunch with will ferrell. I am trying to become a male model in hollywood. I’m a huge fan of classical jazz. I am on a low carb diet.,5,4,2,4,1,4,5,2,4,5,1,2,4,2,4,2,2,2,4,5,4,2,2,4,2,2,4,2,4,2,2,4,2,2,5,2,2,4,2,4,4,2,4,4,2,5,2,2,2,1,2,5,5,1,2,5,4,2,2,4
I want to put my photos to a music video staring Adam Levin. I want to travel the world taking photographs of my travels. I am a widow. I want to be a famous photographer.,2,5,2,2,1,5,5,1,5,5,1,1,2,4,5,2,1,2,4,5,2,1,2,2,5,1,4,2,2,1,2,4,2,4,5,2,1,4,5,5,4,2,4,2,1,2,1,1,2,1,1,4,5,4,2,5,4,2,4,5
I am in the army. I fly airplanes. I enjoy building computers. I dropped out of college.,2,2,2,2,4,4,5,1,4,5,2,2,5,2,5,2,2,4,4,1,5,2,2,4,2,1,3,4,4,1,2,4,2,2,2,2,2,5,2,4,4,2,5,4,1,2,2,2,4,2,1,4,5,1,2,4,3,2,2,4
I have three children. I live in the suburbs of a major city. I like to garden. I graduated college for secondary english education.,2,5,2,4,2,2,5,1,4,4,2,2,5,2,3,2,1,4,4,4,2,1,2,4,1,2,4,2,4,2,2,5,4,4,4,2,1,4,2,4,2,2,5,4,2,3,1,1,2,1,2,5,5,2,2,4,4,2,2,3
I play guitar in the local band. I live on a small farm in Ohio. I am the youngest of three brothers. I have never been to the city.,2,4,2,4,1,2,4,2,4,2,2,2,4,2,3,4,2,2,4,5,2,2,2,4,4,2,4,4,4,1,4,4,2,2,4,4,2,4,2,2,4,2,4,4,2,2,2,2,4,4,2,4,4,2,4,4,4,2,2,3
I’m a widow. I want to put my photos to a music video staring Adam Levin. I want to travel the world taking photographs of my travels. I want to be a famous photographer. I like taking pictures.,2,5,2,2,1,4,5,1,4,5,1,1,2,2,5,2,1,2,2,5,2,1,2,3,5,2,4,2,2,1,2,3,2,2,5,2,1,2,5,4,4,1,3,2,1,2,1,1,2,1,1,4,5,4,2,5,4,2,2,5
I still live at home with my parents. I play video games all day. I’m 32. I eat all take out.,1,2,5,2,5,1,2,5,2,2,5,3,1,4,1,4,4,1,2,1,1,2,5,1,5,5,2,5,2,4,4,1,1,2,1,4,3,1,4,1,1,2,1,2,4,1,4,5,2,5,5,2,1,4,5,2,2,5,3,1
My friend once bought me a car. I am disabled and cannot walk. I take vitamin c when I have a cold. I do not eat bread. My favorite season is winter.,1,5,2,3,3,2,5,1,5,3,2,1,4,1,2,3,1,2,3,1,1,1,3,4,3,5,3,2,4,3,2,3,3,2,3,4,1,3,2,3,1,2,3,4,2,1,1,1,2,3,4,5,3,2,4,2,4,2,1,2
i am single and not looking. my favorite subject in school was science. pizza is my favorite food. my mom is a cancer survivor. my favorite hobby is reading suspense novels.,1,5,2,3,4,2,5,2,4,4,2,2,4,2,3,4,1,3,4,4,2,1,2,4,2,3,3,2,4,2,4,4,3,4,2,4,1,4,2,4,2,3,4,4,2,2,1,2,3,4,1,4,4,2,2,2,3,2,2,3
my father died when i was 2. i hate to lose. i love fishing. my favorite season is spring.,2,2,2,2,4,4,4,2,2,3,2,2,4,4,3,3,2,2,4,1,2,2,2,2,4,2,2,2,2,2,2,3,2,4,2,4,2,4,4,4,3,2,2,2,2,2,2,2,2,2,1,4,5,4,4,4,2,2,4,2
my favorite food is mushroom ravioli. i speak fluent french. my mother works at a bank. i work in an animal shelter.,2,5,2,2,3,3,5,2,4,5,2,1,5,2,4,4,1,2,2,3,2,1,2,4,2,2,5,2,4,2,4,5,4,2,3,2,1,4,3,4,3,2,5,4,2,3,1,1,2,2,2,5,5,2,4,4,1,4,2,4
i just graduated high school. my favorite season is summer. i love tacos but hate spaghetti. i am headed to university of michigan in the fall. i want to be a doctor when i graduate.,4,5,2,4,4,3,5,1,4,4,1,2,4,2,2,3,1,2,3,2,2,1,2,4,1,2,3,2,4,2,2,4,3,2,2,2,1,4,2,4,4,2,4,4,2,2,2,2,3,2,2,5,5,1,1,5,4,2,2,3
i am a nurse and work in an emergency room at a busy hospital. i am buying a house. i am single. i paddle board on my days off. i play the piano.,2,5,2,4,1,4,5,1,4,4,1,1,5,2,4,2,1,4,4,4,4,1,2,4,2,1,4,2,4,1,2,5,4,4,4,2,1,5,2,4,4,2,5,4,2,2,1,1,2,1,1,5,5,2,2,4,4,1,2,4
i hate broccoli. rock music is my favorite. i am afraid of the dark. my mom is my best friend.,2,4,3,2,1,2,4,2,2,2,2,1,2,4,2,2,2,1,4,4,2,1,3,2,4,3,3,4,2,1,4,3,1,5,4,2,1,2,3,2,4,2,2,2,2,2,1,1,1,5,2,2,2,4,4,5,2,4,5,2
i moved to ny to study in a prestigious designing school. since young i ve loved fashion. my inspirations are alexander mcqueen and coco chanel. i love to go shopping and inspire myself in stylish stores. my desire is to becom a fashion designer.,2,2,1,2,1,4,4,1,4,4,1,1,2,2,5,2,1,2,2,4,2,1,1,4,1,1,2,2,2,1,2,3,2,2,5,1,1,4,2,3,4,1,3,2,1,2,1,1,2,5,1,4,5,1,1,5,2,2,4,4
i have a pet husky. i live in the great white north. i love to eat fish. i like to race rc cars.,2,4,2,4,2,4,5,2,4,5,1,2,4,2,4,2,2,2,4,2,4,2,2,4,2,2,4,4,4,2,2,5,2,2,2,1,1,4,2,2,5,2,4,4,2,2,2,2,4,2,2,4,5,2,2,5,4,2,2,4
i teach a yoga class. i enjoy nature. my favorite food is salad. my mother was a teacher.,4,5,1,5,2,2,5,1,4,4,2,1,4,1,3,4,1,2,2,2,2,1,2,5,2,1,4,2,4,2,2,5,4,2,3,2,1,4,2,4,4,1,4,4,2,2,1,1,4,1,1,5,4,1,2,4,4,1,1,4
i am 19 years old. i am a huge fan of baseball. i am going to be the starting shortstop. i recently made the college baseball team.,4,2,2,2,2,5,4,1,4,2,1,2,5,2,3,1,2,2,4,1,5,2,2,5,1,1,3,2,4,1,1,4,2,2,2,2,1,5,1,2,5,2,5,4,1,4,1,2,2,1,1,4,5,1,1,5,4,2,2,3
i can t go a single day without eating ice cream. i once ran the mile in under 4 minutes. my favorite activity is fishing. my dad was a cop until he was killed. my favorite thing to do is float the river.,4,4,2,4,5,5,4,1,4,4,1,2,4,2,2,2,2,1,2,1,4,1,1,4,5,1,4,4,2,1,1,4,2,2,1,2,2,4,4,4,5,2,4,2,2,2,2,2,2,5,1,4,5,2,5,5,4,4,2,3
i have a tattoo of an angel on my hip. my eyes are brown. i love going to concerts. i m a vegan.,4,5,2,4,1,4,5,2,4,4,2,2,4,2,4,2,1,2,3,5,2,1,2,5,2,2,4,2,3,1,2,5,2,2,5,2,1,2,2,4,4,2,4,2,2,2,1,2,2,1,2,5,4,2,2,5,4,2,2,4
i have never lost a fight. i am in a motorcycle club. i am a grown woman. i have more then 10 tattoos.,5,4,1,1,1,5,5,1,5,5,1,1,5,5,5,1,5,1,5,2,5,5,1,5,1,1,2,5,5,1,1,5,1,1,5,1,5,5,1,5,5,5,5,5,1,5,5,1,5,5,1,2,5,1,1,5,2,5,1,5
i have traveled overseas many times. my mother is a well known celebrity. i am a civil war reenactment participant. i have been on the tv news six times. i like to make short films.,5,4,2,4,1,4,5,1,4,5,1,2,4,2,5,2,2,2,4,3,4,2,2,5,2,1,4,2,4,1,2,4,2,2,5,2,2,4,2,5,5,2,4,4,1,4,2,2,4,2,1,5,5,2,2,5,4,2,2,5
i like toyota cars. i like to vote. someday i would like a truck. i don t like working long hours. i work at a hospital.,2,5,2,2,4,2,5,4,4,3,2,1,4,2,2,4,1,2,2,1,2,1,2,4,4,4,4,2,4,2,2,5,3,2,2,4,1,3,2,3,2,2,4,4,2,2,1,1,3,3,2,4,2,2,4,2,4,2,1,2
i have one cat. i am short. my hair is brown. i like to sew. i am not thin.,1,4,2,2,2,2,5,2,3,3,2,1,4,3,4,3,1,2,4,2,1,1,3,3,3,4,3,3,3,1,4,4,2,3,4,4,1,3,3,3,2,2,3,3,2,1,1,2,2,3,2,4,4,2,2,2,3,3,2,3
i work in marketing for a large company. i like to try different beers from various countries. i like to work on cars. my favorite music genre is classic rock.,4,3,2,4,2,4,5,1,4,5,2,2,4,2,4,2,2,4,4,4,4,2,2,4,2,2,4,2,4,2,2,4,4,2,2,2,2,5,2,4,4,2,5,4,2,4,2,2,4,4,2,5,5,1,2,4,4,2,2,4
i eat meat. i used to work at a factory making boxes. i used to travel the usa playing guitar. i recently started to work online. my favorite band is the story so far.,4,2,2,2,1,4,4,2,4,4,2,2,4,2,4,2,2,2,4,4,2,2,2,4,4,2,3,4,4,2,2,4,2,2,4,2,2,4,2,4,4,2,4,2,2,2,2,2,2,2,2,4,4,2,4,4,3,4,2,4
i have a shopping addiction. i don t like when people get too close to me. i love the forest. i don t like being asked a lot of questions.,1,2,4,1,3,1,3,3,2,2,2,2,2,4,3,4,4,2,5,3,1,1,3,2,4,3,2,4,2,3,5,2,2,3,1,4,4,3,3,3,2,4,3,2,3,1,4,3,2,3,1,2,2,3,3,2,2,4,4,3
i am a 30 year old male. i work nights now and like my job. i have two dogs. i just finished training as a security guard.,2,4,2,4,2,4,5,2,4,3,2,2,5,2,2,2,2,4,4,2,4,1,2,4,2,2,4,2,4,2,2,4,2,2,2,2,2,4,2,3,2,4,5,4,2,2,1,2,4,2,1,4,5,2,2,4,4,2,2,2
i ride horses. i like to ride motorcycles. i try to limit how much meat i eat for health reasons. i collect vintage cars. i have many homes.,4,4,2,4,1,5,5,1,4,5,1,2,4,2,4,2,1,2,2,2,5,2,2,5,1,1,4,2,4,1,1,4,2,2,4,2,1,4,1,4,5,2,4,4,2,2,1,2,4,2,1,4,4,1,2,5,4,2,2,4
