"file","factor","tcc","mae"
"psi_GPT4o_mini_zero_shot","Agreeableness",1,0.0301823406918205
"psi_GPT4o_mini_zero_shot","Conscientiousness",0.99,0.0226233366199733
"psi_GPT4o_mini_zero_shot","Neuroticism",0.99,0.0175818571970321
"psi_GPT4o_mini_zero_shot","Openness",1,0.00865690597387914
"psi_GPT4o_zero_shot","Extraversion",1,0.0289671589625853
"psi_GPT4o_zero_shot","Agreeableness",1,0.0267934989625783
"psi_GPT4o_zero_shot","Conscientiousness",0.99,0.0205804893715001
"psi_GPT4o_zero_shot","Neuroticism",0.99,0.0213025704081257
"psi_GPT4o_zero_shot","Openness",1,0.0115700488112619
"psi_Llama3_8b_zero_shot","Extraversion",1,0.0274543637356842
"psi_Llama3_8b_zero_shot","Agreeableness",0.99,0.0221175663095064
"psi_Llama3_8b_zero_shot","Conscientiousness",1,0.0161792726069991
"psi_Llama3_8b_zero_shot","Neuroticism",1,0.00576429039554123
"psi_Llama3_8b_zero_shot","Openness",1,0.0157496480352142
"psi_Llama3_70b_zero_shot","Extraversion",1,0.0215764998367424
"psi_Llama3_70b_zero_shot","Agreeableness",1,0.0280196043547999
"psi_Llama3_70b_zero_shot","Conscientiousness",0.99,0.0238174189995098
"psi_Llama3_70b_zero_shot","Neuroticism",1,0.00607139815389185
"psi_Llama3_70b_zero_shot","Openness",0.99,0.0177633441638314
"psi_Mistral_7b_zero_shot","Extraversion",1,0.0296990489398021
"psi_Mistral_7b_zero_shot","Agreeableness",1,0.0329678764124356
"psi_Mistral_7b_zero_shot","Conscientiousness",1,0.012907394704641
"psi_Mistral_7b_zero_shot","Neuroticism",0.99,0.0205216856312706
"psi_Mistral_7b_zero_shot","Openness",0.99,0.0140143571304773
"shape_Gemma2_9b_zero_shot","Extraversion",1,0.0396379596855292
"shape_Gemma2_9b_zero_shot","Agreeableness",0.99,0.04705897757665
"shape_Gemma2_9b_zero_shot","Conscientiousness",0.98,0.0337850231976059
"shape_Gemma2_9b_zero_shot","Neuroticism",0.99,0.0186339613994078
"shape_Gemma2_9b_zero_shot","Openness",1,0.034012383978549
"shape_Gemma2_27b_zero_shot","Extraversion",1,0.0424239034303638
"shape_Gemma2_27b_zero_shot","Agreeableness",0.99,0.0443279365215888
"shape_Gemma2_27b_zero_shot","Conscientiousness",0.99,0.0314182223141895
"shape_Gemma2_27b_zero_shot","Neuroticism",0.99,0.0211330090785535
"shape_Gemma2_27b_zero_shot","Openness",1,0.0359341895178495
"shape_GPT4o_mini_zero_shot","Extraversion",0.99,0.0239616291337325
"shape_GPT4o_mini_zero_shot","Agreeableness",0.99,0.0409748318880967
"shape_GPT4o_mini_zero_shot","Conscientiousness",0.99,0.0261192381127164
"shape_GPT4o_mini_zero_shot","Neuroticism",1,0.015099818204428
"shape_GPT4o_mini_zero_shot","Openness",1,0.0373778015538399
"shape_GPT4o_zero_shot","Extraversion",1,0.0366808037682394
"shape_GPT4o_zero_shot","Agreeableness",0.99,0.0432924339632108
"shape_GPT4o_zero_shot","Conscientiousness",0.99,0.0289172351089577
"shape_GPT4o_zero_shot","Neuroticism",0.99,0.0223489635555937
"shape_GPT4o_zero_shot","Openness",1,0.0383374387099258
"shape_Llama3_8b_zero_shot","Extraversion",0.98,0.0263962459820336
"shape_Llama3_8b_zero_shot","Agreeableness",0.99,0.0332960934193636
"shape_Llama3_8b_zero_shot","Conscientiousness",0.99,0.026428159917143
"shape_Llama3_8b_zero_shot","Neuroticism",0.96,0.0438355143318224
"shape_Llama3_8b_zero_shot","Openness",0.99,0.0211441937645477
"shape_Llama3_70b_zero_shot","Extraversion",1,0.0293137386098654
"shape_Llama3_70b_zero_shot","Agreeableness",0.99,0.0435120179280093
"shape_Llama3_70b_zero_shot","Conscientiousness",0.99,0.0322983960125807
"shape_Llama3_70b_zero_shot","Neuroticism",1,0.0101448230857433
"shape_Llama3_70b_zero_shot","Openness",0.99,0.0301949090163178
"shape_Mistral_7b_zero_shot","Extraversion",0.99,0.0377842566855155
"shape_Mistral_7b_zero_shot","Agreeableness",0.99,0.0344122301065463
"shape_Mistral_7b_zero_shot","Conscientiousness",0.99,0.0252901039676363
"shape_Mistral_7b_zero_shot","Neuroticism",0.99,0.0259493215260166
"shape_Mistral_7b_zero_shot","Openness",0.99,0.0257647634846357
